編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLPKJIHFFCL97CA,4,1.61,店舖、機電空間,鋼筋混凝土造,98年3月3日,七層,
RPOOMLPKJIHFFCL97CA,4,9.32,防空避難室、停車空間、台電受電室、消防機械室,鋼筋混凝土造,98年3月3日,七層,
RPOOMLPKJIHFFCL97CA,4,13.36,梯間、水箱、机械室,鋼筋混凝土造,98年3月3日,七層,
RPUNMLQKJIHFFCL58CA,4,2.42,店舖、機電空間,鋼筋混凝土造,98年3月3日,七層,
RPUNMLQKJIHFFCL58CA,4,13.98,防空避難室、停車空間、台電受電室、消防機械室,鋼筋混凝土造,98年3月3日,七層,
RPUNMLQKJIHFFCL58CA,4,20.04,梯間、水箱、机械室,鋼筋混凝土造,98年3月3日,七層,
RPUNMLQKJIHFFCL58CA,4,25.13,住家用,鋼筋混凝土造,98年3月3日,七層,二層 陽台 雨遮
RPUNMLQKJIHFFCL58CA,4,50.26,住家用,鋼筋混凝土造,98年3月3日,七層,五層 陽台 雨遮
RPRNMLTJJIHFFEL68CA,17,210.64,見其他登記事項,鋼筋混凝土造,84年6月1日,四層,一層 二層 三層 四層 陽台 平台 騎樓
RPWNMLPJJIHFFFL88CA,31,125.11,住商用,加強磚造,70年7月27日,二層,一層 二層 陽台 騎樓 見其他登記事項
RPSNMLRJJIHFFFL68CA,,150.02,停車空間、住宅,鋼筋混凝土造,101年4月23日,四層,一層 二層 三層 四層 陽台 雨遮
RPWNMLOKJIHFFFL88CA,37,99.20,住家用,加強磚造,64年8月16日,二層,一層 二層 騎樓
RPSNMLMKJIHFFFL28CA,7,297.00,農業設施﹝花卉生產用網室﹞,鋼骨造,94年12月2日,一層,一層
RPSOMLPJJIHFFGL68CA,1,208.70,住宅．停車空間．樓梯間．水箱,鋼筋混凝土造,101年2月24日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPWPMLPJJIHFFGL56CA,18,167.67,住宅、梯間,鋼筋混凝土造,83年7月2日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLQJJIHFFGL38CA,36,97.38,住家用,加強磚造,65年11月15日,二層,一層 二層
RPSQMLPJJIHFFGL88CA,24,132.78,見其他登記事項,加強磚造,77年9月24日,二層,一層 二層 屋頂突出物
RPSNMLRJJIHFFGL78CA,20,78.50,集合住宅,鋼筋混凝土造,81年11月20日,十三層,二層 陽台
RPSNMLRJJIHFFGL78CA,20,18.50,共有部份,鋼筋混凝土造,81年11月20日,十三層,
